Time,v_B_1,v_B_2,v_B_3,v_B_4,v_B_5,v_B_6,gamma_1,gamma_2,gamma_3,gamma_4,gamma_5,gamma_6,w_B_ext_1,w_B_ext_2,w_B_ext_3,w_B_ext_4,w_B_ext_5,w_B_ext_6,dv_B_1,dv_B_2,dv_B_3,dv_B_4,dv_B_5,dv_B_6,R_WB_1_1,R_WB_1_2,R_WB_1_3,R_WB_2_1,R_WB_2_2,R_WB_2_3,R_WB_3_1,R_WB_3_2,R_WB_3_3
0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-87.3934249877929688,-47.5645637512207031,149.6486358642578125,-87.3673706054687500,-47.5874519348144531,149.5994262695312500,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-41.5730972290039062,-33.6919670104980469,-0.0000607500696788,3.4078845977783203,2.1592521667480469,-0.0213935654610395,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,1.0000000000000000
0.0040000001899898,-0.1662923991680145,-0.1347678750753403,-0.0000002430003008,0.0136315394192934,0.0086370091885328,-0.0000855742691783,-80.3460617065429688,-43.5333480834960938,138.5684204101562500,-80.3219451904296875,-43.5544052124023438,138.5231475830078125,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-38.3872451782226562,-31.1195564270019531,-0.0002358732017456,3.1356158256530762,1.9948843717575073,-0.0075494027696550,1.0000000000000000,0.0000001713848263,0.0000172740183189,-0.0000001709138786,1.0000000000000000,-0.0000272630823019,-0.0000172740237758,0.0000272630804830,1.0000000000000000
0.0080000003799796,-0.3198413848876953,-0.2592461109161377,-0.0000011864931366,0.0261740032583475,0.0166165474802256,-0.0001157718797913,-73.8313674926757812,-39.8060150146484375,128.3253631591796875,-73.8090362548828125,-39.8253822326660156,128.2837524414062500,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-35.4416160583496094,-28.7421607971191406,-0.0003441372828092,2.8819222450256348,1.8428310155868530,0.0062956637702882,1.0000000000000000,0.0000005774644478,0.0000677811040077,-0.0000005702203794,1.0000000000000000,-0.0001068741985364,-0.0000677811694914,0.0001068741476047,1.0000000000000000
0.0120000001043081,-0.4616078734397888,-0.3742147684097290,-0.0000025630424716,0.0377016924321651,0.0239878725260496,-0.0000905892229639,-67.8088760375976562,-36.3597259521484375,118.8560028076171875,-67.7882003784179688,-36.3775177001953125,118.8177566528320312,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-32.7180328369140625,-26.5449676513671875,-0.0004167658626102,2.6483960151672363,1.7025579214096069,0.0176244992762804,1.0000000000000000,0.0000010040345160,0.0001489898422733,-0.0000009690775187,1.0000000000000000,-0.0002346256806049,-0.0001489900751039,0.0002346255059820,0.9999999403953552
0.0160000007599592,-0.5924800038337708,-0.4803946614265442,-0.0000042301062422,0.0482952781021595,0.0307981036603451,-0.0000200912254513,-62.2412414550781250,-33.1733360290527344,110.1016998291015625,-62.2220726013183594,-33.1896934509277344,110.0665817260742188,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-30.1997032165527344,-24.5142898559570312,-0.0004546639393084,2.4329133033752441,1.5727280378341675,0.0339876636862755,1.0000000000000000,0.0000012604441508,0.0002585616020951,-0.0000011553077002,0.9999999403953552,-0.0004066197434440,-0.0002585620968603,0.0004066193941981,0.9999998807907104
0.0199999995529652,-0.7132788300514221,-0.5784518122673035,-0.0000060487618612,0.0580269321799278,0.0370890162885189,0.0001158594313893,-57.0938835144042969,-30.2272930145263672,102.0082473754882812,-57.0761222839355469,-30.2423191070556641,101.9759979248046875,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-27.8710861206054688,-22.6374626159667969,-0.0004665424930863,2.2344117164611816,1.4525384902954102,0.0440589003264904,0.9999999403953552,0.0000011383242509,0.0003943355986848,-0.0000008941260603,0.9999998211860657,-0.0006192643195391,-0.0003943362098653,0.0006192638538778,0.9999997019767761
0.0240000002086163,-0.8247631788253784,-0.6690016984939575,-0.0000079149322119,0.0669645816087723,0.0428991690278053,0.0002920950355474,-52.3348846435546875,-27.5035285949707031,94.5255508422851562,-52.3184280395507812,-27.5173130035400391,94.4959716796875000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-25.7178325653076172,-20.9027938842773438,-0.0004649586626329,2.0497069358825684,1.3414548635482788,0.0553888194262981,0.9999998807907104,0.0000004409856160,0.0005543117295019,0.0000000408486471,0.9999996423721313,-0.0008692473638803,-0.0005543119041249,0.0008692472474650,0.9999994635581970
0.0280000008642673,-0.9276345372200012,-0.7526128888130188,-0.0000097747670225,0.0751634091138840,0.0482649877667427,0.0005136503023095,-47.9347610473632812,-24.9852714538574219,87.6073303222656250,-47.9195098876953125,-24.9979190826416016,87.5802078247070312,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-23.7266693115234375,-19.2994842529296875,-0.0004363371408544,1.8795945644378662,1.2389420270919800,0.0654604136943817,0.9999997615814209,-0.0000009870295798,0.0007366400677711,0.0000018367459234,0.9999993443489075,-0.0011535030789673,-0.0007366384379566,0.0011535041267052,0.9999990463256836
0.0320000015199184,-1.0225411653518677,-0.8298108577728271,-0.0000115201155495,0.0826817899942398,0.0532207563519478,0.0007754919352010,-43.8662490844726562,-22.6570663452148438,81.2107925415039062,-43.8521118164062500,-22.6686649322509766,81.1859207153320312,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-21.8853282928466797,-17.8175487518310547,-0.0004109963192604,1.7235443592071533,1.1443302631378174,0.0711274743080139,0.9999995827674866,-0.0000033007327147,0.0009396121604368,0.0000046812019718,0.9999989271163940,-0.0014691925607622,-0.0009396062232554,0.0014691962860525,0.9999984502792358
0.0359999984502792,-1.1100825071334839,-0.9010810852050781,-0.0000131641008920,0.0895759686827660,0.0577980764210224,0.0010600017849356,-40.1041793823242188,-20.5045776367187500,75.2963790893554688,-40.0910682678222656,-20.5151977539062500,75.2736206054687500,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,-20.1824798583984375,-16.4477634429931641,-0.0003814697265625,1.5775750875473022,1.0565489530563354,0.0805698931217194,0.9999993443489075,-0.0000066097695708,0.0011616513365880,0.0000087166590674,0.9999983906745911,-0.0018137062434107,-0.0011616373667493,0.0018137150909752,0.9999976754188538
